identifier,price,timestamp
devote-1-2022,1699,1756889421120
silex-400-oak-bork-2026,1599,1756889424661
silex-400-warm-slate-grey-2026,1599,1756889427998
escape-city-disc-1-2024,899,1756904787088
roam-disc-2-2024,899,1756904789070
roam-2,999,1756904790853
fastroad-sl-3-2022,999,1756904792579
fastroad-ar-2,1199,1756904794343
sdrbike-escape-1-city-disc,899,1756904796727
thrive-2,1199,1756904798595
rove-2,799,1756904800292
allure-rs-1-2023,1199,1756904802211
allure-rs-2-2022,799,1756904804178
allure-rs-2-2023,949,1756904806528
allure-rs-2-2024,799,1756904807937
devote-1-2024,1399,1756904809930
devote-1-2022,1699,1756904811844
silex-400-oak-bork-2026,1599,1756904815326
silex-400-warm-slate-grey-2026,1599,1756904819143
escape-city-disc-1-2024,899,1756918167954
roam-disc-2-2024,899,1756918169499
roam-2,999,1756918171174
fastroad-sl-3-2022,999,1756918172949
fastroad-ar-2,1199,1756918174451
sdrbike-escape-1-city-disc,899,1756918176907
thrive-2,1199,1756918178623
rove-2,799,1756918180016
allure-rs-1-2023,1199,1756918181584
allure-rs-2-2022,799,1756918183733
allure-rs-2-2023,949,1756918185345
allure-rs-2-2024,799,1756918187272
devote-1-2024,1399,1756918188841
devote-1-2022,1699,1756918190297
silex-400-oak-bork-2026,1599,1756918193715
silex-400-warm-slate-grey-2026,1599,1756918196926
escape-city-disc-1-2024,899,1756932297632
roam-disc-2-2024,899,1756932299201
roam-2,999,1756932300968
fastroad-sl-3-2022,999,1756932302969
fastroad-ar-2,1199,1756932304700
sdrbike-escape-1-city-disc,899,1756932307001
thrive-2,1199,1756932308823
rove-2,799,1756932310299
allure-rs-1-2023,1199,1756932312022
allure-rs-2-2022,799,1756932314075
allure-rs-2-2023,949,1756932315990
allure-rs-2-2024,799,1756932317473
devote-1-2024,1399,1756932319000
devote-1-2022,1699,1756932320920
silex-400-oak-bork-2026,1599,1756932324183
silex-400-warm-slate-grey-2026,1599,1756932327953
escape-city-disc-1-2024,899,1756961191260
roam-disc-2-2024,899,1756961193587
roam-2,999,1756961195757
fastroad-sl-3-2022,999,1756961198120
fastroad-ar-2,1199,1756961200352
sdrbike-escape-1-city-disc,899,1756961203379
thrive-2,1199,1756961205879
rove-2,799,1756961207891
allure-rs-1-2023,1199,1756961210125
allure-rs-2-2022,799,1756961212629
allure-rs-2-2023,949,1756961214931
allure-rs-2-2024,799,1756961216760
devote-1-2024,1399,1756961218849
devote-1-2022,1699,1756961220703
silex-400-oak-bork-2026,1599,1756961224822
silex-400-warm-slate-grey-2026,1599,1756961228253
escape-city-disc-1-2024,899,1756975830048
roam-disc-2-2024,899,1756975831893
roam-2,999,1756975833831
fastroad-sl-3-2022,999,1756975835878
fastroad-ar-2,1199,1756975837671
sdrbike-escape-1-city-disc,899,1756975840507
thrive-2,1199,1756975842452
rove-2,799,1756975845545
allure-rs-1-2023,1199,1756975847301
allure-rs-2-2022,799,1756975849404
allure-rs-2-2023,949,1756975851071
allure-rs-2-2024,799,1756975852555
devote-1-2024,1399,1756975854533
devote-1-2022,1699,1756975856323
silex-400-oak-bork-2026,1599,1756975860015
silex-400-warm-slate-grey-2026,1599,1756975863360
escape-city-disc-1-2024,899,1756991107294
roam-disc-2-2024,899,1756991109420
roam-2,999,1756991111358
fastroad-sl-3-2022,999,1756991113199
fastroad-ar-2,1199,1756991115670
sdrbike-escape-1-city-disc,899,1756991118021
thrive-2,1199,1756991120170
rove-2,799,1756991121918
allure-rs-1-2023,1199,1756991123646
allure-rs-2-2022,799,1756991125748
allure-rs-2-2023,949,1756991127334
allure-rs-2-2024,799,1756991128765
devote-1-2024,1399,1756991130487
devote-1-2022,1699,1756991132305
silex-400-oak-bork-2026,1599,1756991136074
silex-400-warm-slate-grey-2026,1599,1756991139964
escape-city-disc-1-2024,899,1757004627588
roam-disc-2-2024,899,1757004629655
roam-2,999,1757004631718
fastroad-sl-3-2022,999,1757004633781
fastroad-ar-2,1199,1757004635961
sdrbike-escape-1-city-disc,899,1757004638902
thrive-2,1199,1757004641192
rove-2,799,1757004642990
allure-rs-1-2023,1199,1757004645068
allure-rs-2-2022,799,1757004647580
allure-rs-2-2023,949,1757004650044
allure-rs-2-2024,799,1757004651982
devote-1-2024,1399,1757004653965
devote-1-2022,1699,1757004656507
silex-400-oak-bork-2026,1599,1757004661918
silex-400-warm-slate-grey-2026,1599,1757004666209
escape-city-disc-1-2024,899,1757018675587
roam-disc-2-2024,899,1757018677573
roam-2,999,1757018679945
fastroad-sl-3-2022,999,1757018682185
fastroad-ar-2,1199,1757018684396
sdrbike-escape-1-city-disc,899,1757018687219
thrive-2,1199,1757018690133
rove-2,799,1757018692390
allure-rs-1-2023,1199,1757018694779
allure-rs-2-2022,799,1757018697482
allure-rs-2-2023,949,1757018699508
allure-rs-2-2024,799,1757018701374
devote-1-2024,1399,1757018703296
devote-1-2022,1699,1757018705715
silex-400-oak-bork-2026,1599,1757018709758
silex-400-warm-slate-grey-2026,1599,1757018713540
escape-city-disc-1-2024,899,1757047629373
roam-disc-2-2024,899,1757047631207
roam-2,999,1757047633080
fastroad-sl-3-2022,999,1757047634904
fastroad-ar-2,1199,1757047636703
sdrbike-escape-1-city-disc,899,1757047639296
thrive-2,1199,1757047641311
rove-2,799,1757047642860
allure-rs-1-2023,1199,1757047644475
allure-rs-2-2022,799,1757047646542
allure-rs-2-2023,949,1757047648071
allure-rs-2-2024,799,1757047649646
devote-1-2024,1399,1757047651212
devote-1-2022,1699,1757047652872
silex-400-oak-bork-2026,1599,1757047656293
silex-400-warm-slate-grey-2026,1599,1757047660216
escape-city-disc-1-2024,899,1757062209372
roam-disc-2-2024,899,1757062211338
roam-2,999,1757062213077
fastroad-sl-3-2022,999,1757062214931
